in,out,num
1,1,98
1,2,67
1,3,73
1,4,84
1,5,137
1,6,78
1,7,196
1,8,189
2,1,90
2,2,105
2,3,231
2,4,301
2,5,280
2,6,252
2,7,274
2,8,213
3,1,78
3,2,280
3,3,84
3,4,336
3,5,241
3,6,297
3,7,258
3,8,213
4,1,118
4,2,224
4,3,231
4,4,112
4,5,233
4,6,224
4,7,287
4,8,224
5,1,112
5,2,224
5,3,224
5,4,238
5,5,105
5,6,224
5,7,286
5,8,258
6,1,140
6,2,238
6,3,225
6,4,294
6,5,140
6,6,112
6,7,252
6,8,294
7,1,73
7,2,246
7,3,252
7,4,291
7,5,213
7,6,241
7,7,112
7,8,162
8,1,132
8,2,190
8,3,196
8,4,235
8,5,174
8,6,202
8,7,162
8,8,112
