link_id,type,length,lanes_num,L,LT,T1,T2,T3,LTR,TR,R
917749,normal,143,3,,5,5,5,,,,
17893,normal,392,3,,5,5,,,,5,
917893,normal,392,3,,5,5,,,,5,
17890,normal,285,3,,5,5,,,,5,
917890,normal,185,2,,5,,,,,5,
917892,in,300,3,,5,5,,,,5,
17892,out,300,3,,,,,,,,
17891,normal,284,3,,,5,5,,,5,
917891,normal,284,3,,5,5,,,,5,
17181,out,200,3,,,,,,,,
17354,out,200,3,,,,,,,,
917469,in,300,3,,5,5,,,,5,
17541,out,300,4,,,,,,,,
917541,in,300,4,4,,5,5,,,5,
17654,out,300,4,,,,,,,,
17778,out,300,3,,,,,,,,
917778,in,300,3,,5,5,,,,5,
17917,out,300,3,,,,,,,,
917917,in,300,3,,5,5,5,,,,
17069,out,300,3,,,5,5,5,,,
917069,in,300,3,,,5,5,5,,,
17894,out,375,3,,,,,,,,
917105,normal,375,3,,5,5,5,,,,
916931,out,300,2,,,,,,,,
916927,out,300,3,,,,,,,,
