in,out,num
1,1,35
1,2,24
1,3,26
1,4,30
1,5,49
1,6,28
1,7,70
1,8,68
2,1,43
2,2,50
2,3,110
2,4,143
2,5,133
2,6,120
2,7,131
2,8,101
3,1,28
3,2,100
3,3,30
3,4,120
3,5,86
3,6,106
3,7,92
3,8,76
4,1,56
4,2,107
4,3,110
4,4,53
4,5,111
4,6,107
4,7,137
4,8,107
5,1,53
5,2,107
5,3,107
5,4,113
5,5,50
5,6,107
5,7,136
5,8,123
6,1,67
6,2,113
6,3,107
6,4,140
6,5,67
6,6,53
6,7,120
6,8,140
7,1,35
7,2,117
7,3,120
7,4,139
7,5,101
7,6,115
7,7,53
7,8,77
8,1,47
8,2,68
8,3,70
8,4,84
8,5,62
8,6,72
8,7,58
8,8,40
