15-40-44,13
15-43-80-49-44,10
15-43-59-63-88-69-49-44,7
15-34-39-76-61-45-40-44,7
15-43-59-74-41-36-40-44,7
15-34-39-76-61-80-49-44,7
15-43-59-74-70-37-32-36-40-44,7
15-34-39-70-37-32-36-40-44,6
15-34-39-76-63-88-69-49-44,6
15-34-30-26-35-68-72-76-61-45-40-44,6
15-43-80-84,12
15-40-47-84,12
15-43-59-63-88-69-84,9
15-34-39-76-61-80-84,8
15-34-39-76-63-88-69-84,7
15-34-30-26-35-68-72-76-61-80-84,7
15-40-47-78-59-63-88-69-84,7
15-40-47-67-86-65-61-80-84,7
15-43-59-63-71-100-77-69-84,6
15-34-30-26-35-68-72-76-63-88-69-84,6
15-43-59-63-88-92,11
15-43-80-67-92,11
15-40-47-67-92,11
15-34-39-76-63-88-92,9
15-40-47-78-59-63-88-92,8
15-43-59-63-71-100-77-92,8
15-34-30-26-35-68-72-76-63-88-92,8
15-34-39-76-61-80-67-92,8
15-34-39-76-63-71-100-77-92,7
15-34-30-26-22-31-64-68-72-76-63-88-92,7
15-43-59-63-88-75-104,13
15-43-80-67-75-104,13
15-40-47-67-75-104,13
15-43-59-63-71-100-104,13
15-34-39-76-63-88-75-104,11
15-34-39-76-63-71-100-104,11
15-40-47-78-59-63-88-75-104,10
15-43-80-67-86-71-100-104,10
15-40-47-78-59-63-71-100-104,10
15-40-47-67-86-71-100-104,10
15-43-59-63-88-75-83-112,12
15-43-80-67-75-83-112,12
15-43-59-63-71-79-108-112,12
15-40-47-67-75-83-112,12
15-43-59-63-71-100-83-112,12
15-34-39-76-63-88-75-83-112,11
15-34-39-76-63-71-79-108-112,11
15-34-39-76-63-71-100-83-112,11
15-43-59-63-88-75-98-79-108-112,9
15-43-80-67-75-98-79-108-112,9
15-43-59-74-70-66-62-55-95-128-132-136,10
15-34-30-26-35-62-55-95-128-132-136,9
15-34-39-70-66-62-55-95-128-132-136,9
15-34-30-26-22-31-55-95-128-132-136,9
15-43-59-63-88-75-83-91-136,8
15-43-80-67-75-83-91-136,8
15-43-59-63-71-79-108-91-136,8
15-40-47-67-75-83-91-136,8
15-43-59-63-71-100-83-91-136,8
15-43-59-63-71-79-87-132-136,8
15-43-59-74-70-66-62-55-95-128-132-111,11
15-34-30-26-35-62-55-95-128-132-111,11
15-34-39-70-66-62-55-95-128-132-111,11
15-34-30-26-22-31-55-95-128-132-111,11
15-43-59-63-88-75-83-91-111,10
15-43-80-67-75-83-91-111,10
15-43-59-63-71-79-108-91-111,10
15-40-47-67-75-83-91-111,10
15-43-59-63-71-100-83-91-111,10
15-43-59-63-71-79-87-132-111,10
15-43-59-74-70-66-62-55-95-128-107,12
15-34-30-26-35-62-55-95-128-107,11
