in,out,num
1,1,74
1,2,50
1,3,55
1,4,63
1,5,103
1,6,59
1,7,147
1,8,142
2,1,68
2,2,79
2,3,173
2,4,226
2,5,210
2,6,189
2,7,206
2,8,160
3,1,59
3,2,210
3,3,63
3,4,252
3,5,181
3,6,223
3,7,194
3,8,160
4,1,89
4,2,168
4,3,173
4,4,84
4,5,175
4,6,168
4,7,215
4,8,168
5,1,84
5,2,168
5,3,168
5,4,179
5,5,79
5,6,168
5,7,215
5,8,194
6,1,105
6,2,179
6,3,169
6,4,221
6,5,105
6,6,84
6,7,189
6,8,221
7,1,55
7,2,185
7,3,189
7,4,218
7,5,160
7,6,181
7,7,84
7,8,122
8,1,99
8,2,143
8,3,147
8,4,176
8,5,131
8,6,152
8,7,122
8,8,84
