2,1,35
3,4,35
76,77,35
128,23,35
2,6,24
3,8,24
76,146,24
128,146,24
2,12,26
3,99,26
76,138,26
128,133,26
2,150,30
3,170,30
76,233,30
128,233,30
2,237,49
3,249,49
76,165,49
128,165,49
2,138,28
3,186,28
76,261,28
128,261,28
2,190,70
3,199,70
76,288,70
128,288,70
2,281,68
3,284,68
76,286,68
128,244,68
5,1,43
7,4,43
130,77,43
5,6,50
7,8,50
130,146,50
5,12,110
7,99,110
130,138,110
5,150,143
7,170,143
130,233,143
5,237,133
7,249,133
130,165,133
5,138,120
7,186,120
130,261,120
5,190,131
7,199,131
130,288,131
5,281,131
7,284,101
130,286,101
11,1,28
19,4,28
139,77,28
112,23,28
11,6,100
19,8,100
139,146,100
112,146,100
11,12,30
19,99,30
139,138,30
112,133,30
11,150,120
19,170,120
139,233,120
112,233,120
11,237,86
19,249,86
139,165,86
112,165,86
11,138,106
19,186,106
139,261,106
112,261,106
11,190,92
19,199,92
139,288,92
112,288,92
11,281,101
19,284,101
139,286,101
112,244,101
159,1,56
173,4,56
229,77,56
159,6,107
173,8,107
229,146,107
159,12,110
173,99,110
229,138,110
159,150,53
173,170,53
229,233,53
159,237,111
173,249,111
229,165,111
159,138,106
173,186,106
229,261,106
159,190,137
173,199,137
229,288,137
159,281,107
173,284,107
229,286,107
235,1,53
245,4,53
175,77,53
235,6,107
245,8,107
175,146,107
235,12,107
245,99,107
175,138,107
235,150,113
245,170,113
175,233,113
235,237,50
245,249,50
175,165,50
235,138,107
245,186,107
175,261,107
235,190,136
245,199,136
175,288,136
235,281,123
245,284,123
175,286,123
274,1,67
166,4,67
260,77,67
274,6,113
166,8,113
260,146,113
274,12,107
166,99,107
260,138,107
274,150,140
166,170,140
260,233,140
274,237,67
166,249,67
260,165,67
274,138,53
166,186,53
260,261,53
274,190,120
166,199,120
260,288,120
274,281,140
166,284,140
260,286,140
179,1,35
198,4,35
289,77,35
179,6,118
198,8,118
289,146,118
179,12,120
198,99,120
289,138,120
179,150,139
198,170,139
289,233,139
179,237,101
198,249,101
289,165,101
179,138,115
198,186,115
289,261,115
179,190,53
198,199,53
289,288,53
179,281,77
198,284,77
289,286,77
282,1,47
285,4,47
287,77,47
238,23,47
282,6,68
285,8,68
287,146,68
238,146,68
282,12,70
285,99,70
287,138,70
238,133,70
282,150,84
285,170,84
287,233,84
238,233,84
282,237,62
285,249,62
287,165,62
238,165,62
282,138,72
285,186,72
287,261,72
238,261,72
282,190,58
285,199,58
287,288,58
238,288,58
282,281,40
285,284,40
287,286,40
238,244,40
