17748:0,0,1,3,7,7,12,10,7,5,12,4,3,7,6,6,6,5,9,4,11,9,10,11,10,5,13,7,4,7,7,4,13,8,8,8,7,4,7,9,6,11,5,5,12,9,5,9,9,5,11,10,12,10,10,9,9,6,8,6,8,3,9,3,2,0
917515:0,0,1,2,3,4,6,4,2,1,2,4,3,4,4,1,2,6,2,0,1,3,4,1,2,3,2,3,1,7,5,7,4,3,4,2,4,6,3,6,2,2,4,4,8,3,3,3,5,1,5,5,5,2,9,3,2,6,3,3,1,1,4,2,1,0
17421:0,0,0,0,0,7,3,0,5,5,0,1,2,1,4,2,3,1,2,3,1,1,4,0,1,0,1,0,5,0,2,1,0,3,4,2,0,3,2,2,4,1,1,0,2,4,2,1,2,1,0,4,1,1,0,2,1,2,2,3,2,1,0,1,0,0
917099:0,0,0,2,2,4,1,9,9,9,4,8,5,7,10,12,3,6,8,3,5,15,13,9,4,8,6,8,7,4,7,9,5,9,8,7,7,9,5,9,1,6,4,8,4,11,10,11,5,6,9,6,7,5,10,5,7,4,11,7,7,8,4,4,6,0
917520:0,0,4,5,9,7,10,6,7,9,6,11,8,6,10,8,8,7,3,6,10,6,3,8,4,8,7,8,6,9,9,12,7,5,6,6,8,7,4,8,6,7,11,9,7,7,8,7,10,6,4,10,9,7,7,8,6,6,8,7,7,12,5,0,1,0
17752:0,0,0,2,7,3,1,4,7,5,6,3,7,2,4,4,3,1,7,4,4,3,3,0,5,4,4,9,5,1,6,3,7,3,2,2,7,5,6,0,2,2,3,1,4,5,5,5,4,7,4,6,8,2,0,4,3,1,4,1,4,5,4,4,0,0
917522:0,0,3,10,13,11,14,20,11,12,18,12,17,13,11,17,20,8,13,12,20,13,11,11,8,12,12,8,10,16,15,14,14,19,14,15,15,10,8,10,12,11,15,15,11,15,7,11,12,14,10,17,17,18,12,12,13,19,14,11,13,13,14,7,0,0
917523:0,0,5,6,8,8,9,12,7,10,2,9,9,4,8,10,15,6,6,5,13,5,4,4,2,13,5,6,11,10,9,10,9,8,8,7,7,6,2,7,8,4,9,10,6,9,6,6,10,9,6,12,9,7,7,10,4,7,7,4,9,9,4,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,2,11,16,14,10,16,10,12,12,11,13,9,9,11,13,7,11,15,18,22,9,11,9,15,10,19,12,17,11,10,14,11,19,14,10,16,10,10,16,13,11,11,7,10,11,14,12,13,12,8,12,15,13,10,15,20,14,22,13,13,18,10,0,0
917526:0,0,3,6,8,11,9,5,16,12,17,12,18,9,8,12,12,12,9,8,13,11,13,13,7,4,6,7,5,12,13,13,14,13,5,10,8,12,7,9,10,9,10,10,13,4,10,3,13,11,13,13,13,16,6,11,16,10,17,13,9,11,11,6,0,0
917527:0,0,1,6,3,5,4,5,9,7,11,9,9,8,5,8,11,8,5,6,8,7,11,5,5,2,5,2,3,12,9,8,10,7,6,9,8,12,4,5,8,7,4,11,12,7,6,7,11,8,7,9,11,8,8,7,11,8,10,7,7,8,6,4,0,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,0,3,3,8,11,10,9,2,12,6,11,7,14,8,10,5,11,6,4,9,10,5,9,15,6,9,9,7,6,13,9,9,7,9,3,8,12,6,6,9,9,7,8,14,5,6,12,11,8,13,5,6,6,10,11,7,10,14,6,10,7,0,2,2,0
917530:0,0,0,2,5,6,4,3,8,6,5,4,5,6,3,4,6,9,4,1,9,5,7,2,4,2,5,2,2,3,7,8,9,5,8,6,9,7,3,3,5,7,2,4,13,9,5,9,5,4,6,10,10,6,5,6,8,4,4,5,3,4,7,5,1,0
917531:0,0,0,1,6,4,3,2,6,3,5,6,6,8,1,4,7,7,4,2,7,4,4,2,3,0,5,1,2,3,7,7,10,6,5,4,5,5,7,3,5,6,5,4,12,7,5,6,3,6,8,10,9,7,7,5,8,3,4,4,5,4,9,7,2,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,1,3,2,3,1,1,7,2,8,8,4,1,2,6,1,6,2,0,4,2,6,2,6,1,2,6,4,4,5,2,1,3,5,3,5,2,5,5,2,2,2,5,2,2,2,3,8,5,4,3,1,2,8,4,3,3,2,1,6,4,0,2,0,0
917022:0,0,1,2,2,4,4,2,8,2,7,7,3,9,1,7,2,3,4,1,2,4,5,3,5,4,6,7,5,4,6,7,1,3,4,4,3,4,3,4,2,4,2,7,1,4,3,4,7,7,2,1,3,4,8,4,5,4,3,4,7,6,1,4,0,0
17439:0,0,3,11,13,7,8,15,8,13,6,12,16,10,13,12,9,8,6,10,7,10,8,9,12,5,11,11,16,12,14,11,7,4,14,18,15,12,11,11,10,5,10,11,11,10,7,12,11,11,7,11,7,9,13,14,8,12,10,13,12,12,6,4,0,0
917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,3,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,2,1,0,0,4,0,0,0,0
17443:0,0,1,2,6,4,5,5,4,4,6,6,5,4,6,4,5,3,8,5,8,4,4,2,6,2,3,7,3,3,4,4,6,5,5,6,5,4,10,4,6,4,9,4,10,4,7,4,3,10,5,4,3,5,7,6,6,3,7,3,4,6,10,1,0,0
917541:0,0,2,1,5,6,7,5,2,3,2,2,6,2,2,1,2,1,6,7,1,4,5,3,4,1,5,3,4,2,1,3,6,3,6,4,3,3,1,4,3,4,6,2,1,5,6,2,5,4,5,5,5,2,1,2,1,3,3,1,6,3,0,0,0,0
16935:0,0,0,1,1,1,1,0,0,1,1,1,0,2,1,1,0,1,1,0,1,1,0,2,1,1,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,0,1,0,3,1,3,1,1,1,3,1,1,4,0,2,1,0,0,1,0,1,0,0,0,0
917544:0,0,1,1,2,7,3,7,4,9,4,2,7,9,6,8,1,0,2,6,7,4,4,7,1,10,4,8,2,4,4,7,4,3,2,5,8,7,4,4,8,10,4,6,8,5,1,11,2,5,11,3,5,5,8,2,4,5,3,2,3,7,4,1,1,0
917545:0,0,2,2,4,6,12,9,8,8,10,7,6,5,10,3,6,4,6,9,9,6,4,6,9,1,5,8,7,3,9,7,7,6,5,3,6,10,0,4,3,8,5,8,7,6,3,6,8,3,3,5,9,5,7,3,7,7,9,6,4,10,0,2,0,0
16938:0,0,0,1,1,0,2,0,1,1,0,1,1,3,0,0,1,1,0,1,1,0,2,1,4,1,0,3,1,0,1,2,3,2,2,2,4,0,2,2,1,0,0,1,3,0,2,0,1,2,2,0,0,1,2,1,1,1,2,0,1,0,0,0,0,0
