17748:0,0,1,4,6,6,2,3,4,6,8,4,5,4,8,7,8,5,5,5,8,3,5,0,4,2,8,2,5,4,7,7,6,4,6,4,8,5,2,5,2,4,7,3,7,5,8,3,10,4,11,3,5,2,9,4,3,3,7,6,6,5,5,3,2,0,1,2,2,0,0,0,1,0,2,1,0,0,2,0,1,0,4,1,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,4,1,1,0,1,1,2,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
917515:0,0,1,3,2,2,5,5,6,2,3,3,5,5,2,6,3,4,2,3,4,3,6,2,2,2,2,2,3,5,1,5,4,1,6,6,6,4,4,6,6,5,4,5,4,7,3,3,5,3,5,2,3,3,9,2,3,2,4,5,2,9,3,1,1,0,2,0,1,1,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
17421:0,0,0,2,1,5,1,7,5,1,0,4,4,2,0,2,5,1,3,3,3,3,0,2,1,4,5,2,3,1,5,4,3,6,2,2,1,2,3,0,2,2,2,4,2,2,3,3,2,4,2,2,2,3,1,3,2,1,0,3,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917099:0,0,1,1,7,6,11,6,12,8,6,8,6,3,11,11,6,12,11,6,10,7,8,6,5,11,9,6,7,4,8,10,5,8,14,8,8,9,5,9,6,6,9,7,11,8,11,10,6,10,9,8,6,5,7,6,9,8,10,10,8,9,2,5,3,4,1,1,0,1,2,1,1,0,0,0,2,1,1,1,0,0,0,1,0,1,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917520:0,0,1,8,10,8,6,0,6,5,8,5,5,8,6,4,6,4,4,7,4,2,6,5,4,5,7,8,4,5,3,6,5,1,9,9,3,6,5,4,1,4,8,7,6,3,3,8,4,6,6,9,2,7,5,6,4,5,1,9,11,7,5,1,1,0,1,1,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17752:0,0,1,0,1,1,5,4,3,4,3,3,4,3,4,4,1,2,5,5,7,4,1,3,3,2,3,5,4,2,2,0,3,2,4,1,6,6,5,6,5,1,3,3,11,6,9,1,4,3,5,3,3,4,6,1,1,6,3,2,4,1,7,0,4,3,1,1,2,3,1,0,0,0,0,1,1,0,2,1,1,0,0,1,2,1,1,2,2,0,0,1,2,0,3,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
917522:0,0,4,12,19,17,21,16,13,17,15,13,13,18,17,14,17,16,13,13,19,11,14,16,19,16,19,19,12,14,17,15,20,21,21,19,15,18,14,14,13,14,17,20,19,18,12,9,14,15,14,15,16,20,20,22,11,14,14,13,15,15,16,14,14,12,11,11,9,9,11,14,10,13,12,10,9,12,9,8,11,12,12,12,14,9,11,12,11,12,13,11,13,12,11,10,10,8,10,14,14,13,13,11,12,10,10,11,11,12,13,14,11,11,13,8,8,9,13,14,13,14,13,10,11,10,9,9,12,13,11,11,13,10,11,10,9,9,11,11,13,13,11,7,11,10,9,13,12,12,12,13,11,9,11,9,11,12,13,11,12,12,9,10,10,9,13,8,9,0
917523:0,0,3,6,4,3,8,3,6,2,6,5,6,5,5,5,6,6,7,3,6,2,5,3,8,3,8,5,5,5,6,7,6,6,11,5,4,8,3,4,2,3,4,6,5,7,1,3,5,5,4,3,2,7,6,5,3,7,2,7,8,5,3,4,2,2,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,1,2,1,1,0,2,1,2,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,2,2,1,1,0,0,3,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,1,11,21,19,13,19,16,17,18,21,10,22,13,15,20,10,16,14,14,21,17,16,24,16,18,23,21,12,25,13,13,19,20,19,15,13,13,18,22,14,20,10,13,10,17,16,17,17,17,17,16,15,13,17,18,21,18,15,14,13,15,15,8,3,5,7,6,5,3,2,6,3,4,6,4,4,5,4,5,5,3,4,3,7,3,5,8,4,3,4,1,4,4,6,6,5,6,5,5,5,2,2,5,6,5,6,6,1,5,5,7,3,5,4,3,5,6,5,2,3,1,7,5,5,4,1,3,3,1,2,7,4,9,5,7,8,2,5,1,0,6,4,0,3,3,3,2,7,6,1,0,4,5,4,4,3,3,4,4,2,5,3,5,2,4,6,5,0
