17748:0,0,0,2,4,4,3,3,7,6,1,2,1,7,6,4,6,3,8,6,9,4,8,2,6,5,6,7,9,2,8,2,9,7,5,3,8,5,3,7,5,10,10,3,5,9,5,5,7,6,6,5,4,1,4,6,10,6,5,2,4,7,8,1,3,1,1,2,1,1,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,1,0,1,1,0,0,1,0,1,1,0,0,2,1,0,0,1,0,1,1,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917515:0,0,0,3,7,2,4,3,6,3,5,4,3,4,2,4,0,2,4,3,4,2,3,3,2,4,8,4,2,7,1,3,6,3,2,4,6,3,4,3,1,5,4,10,1,5,4,2,5,4,7,5,1,4,6,5,6,4,5,5,8,3,2,3,2,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,4,3,0,0,0
17421:0,0,0,1,1,5,1,3,4,3,2,1,6,2,3,1,1,1,7,4,4,7,2,7,1,3,3,4,3,3,4,1,0,0,1,5,3,5,4,4,7,4,2,2,3,2,3,5,2,2,2,2,3,4,6,2,2,2,5,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917099:0,0,1,1,4,5,4,2,11,6,9,8,6,5,5,4,3,7,8,9,6,12,7,4,3,6,5,4,12,2,8,2,7,9,4,9,7,9,12,11,4,10,7,8,12,7,9,6,5,10,9,6,5,7,8,7,6,14,7,5,10,8,7,5,4,4,1,1,0,1,4,1,0,2,2,0,3,0,1,1,3,3,2,1,1,1,0,2,2,2,1,1,0,1,0,0,2,3,3,0,2,1,2,1,0,0,1,0,1,0,1,0,2,0,0,0,2,1,0,1,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917520:0,0,3,1,5,9,5,4,10,9,7,6,1,9,5,4,7,4,4,8,11,5,4,5,1,6,7,9,9,5,3,3,1,5,6,2,5,5,6,4,8,4,9,3,5,8,3,6,4,8,4,6,0,5,9,3,10,9,1,12,6,5,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17752:0,0,1,1,3,3,2,4,3,5,6,0,4,3,3,7,2,1,6,2,5,6,7,6,4,2,7,2,4,2,4,3,6,2,3,2,6,2,3,6,3,1,3,5,7,3,5,0,2,3,4,6,4,1,2,3,2,4,2,3,7,4,2,3,3,0,0,1,1,4,1,1,1,0,1,1,0,0,2,0,1,1,0,0,3,1,2,0,2,0,2,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,2,0,1,0,2,2,1,0,1,1,0,0,0,2,0,1,1,1,3,1,3,0,2,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
917522:0,0,5,16,18,17,17,16,14,13,13,18,13,18,18,14,21,14,16,15,16,13,21,15,14,15,17,16,19,14,15,13,17,16,15,15,15,15,10,13,19,14,16,18,18,20,14,10,15,16,13,16,18,18,16,16,12,15,17,16,14,18,15,15,14,13,10,14,10,9,13,11,11,11,12,13,10,11,10,10,11,14,14,13,14,10,9,10,11,12,15,14,12,12,11,10,9,10,11,15,13,14,12,10,11,10,10,11,10,12,15,13,14,13,11,9,9,13,11,13,12,15,13,10,11,10,10,9,12,14,15,14,11,12,11,9,9,11,13,11,15,14,12,10,11,10,10,15,11,12,13,13,11,10,11,9,11,13,13,12,12,12,10,10,9,9,13,13,12,10,12,11,9,10,10,10,13,13,13,13,12,11,8,9,9,11,13,12,13,12,11,11,10,9,8,9,12,13,13,12,10,11,10,9,9,12,9,11,11,12,7,0,0
917523:0,0,4,4,5,5,3,4,4,3,3,9,3,5,3,2,13,6,5,4,10,4,6,4,3,9,4,4,6,7,3,4,3,3,6,3,6,3,2,5,7,5,8,5,6,7,3,2,8,6,5,6,4,5,4,5,2,8,8,4,3,7,5,1,2,0,2,1,1,1,2,1,0,0,1,2,0,1,0,2,0,3,1,3,1,0,1,1,1,3,1,2,1,1,0,0,0,0,2,2,1,1,0,1,0,1,0,2,1,1,2,1,2,0,0,0,1,4,0,1,1,1,0,0,0,2,0,2,0,2,2,2,2,0,1,1,0,2,1,1,2,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917012:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917525:0,0,4,18,11,27,18,9,20,16,15,21,21,22,18,15,17,17,30,23,11,22,17,13,17,15,20,16,14,22,18,14,23,18,19,17,10,19,19,14,15,17,13,16,17,18,14,21,31,19,19,17,17,16,21,14,14,10,21,17,15,19,28,11,9,4,6,6,5,6,2,3,5,3,3,6,6,4,3,4,6,4,6,5,2,7,3,4,8,5,8,6,4,2,3,1,3,6,6,7,4,3,1,1,4,4,4,4,5,3,6,5,0,7,7,3,5,4,4,5,4,3,1,5,5,2,2,3,4,1,3,2,4,9,3,4,6,2,3,6,2,1,6,2,3,4,7,4,5,6,3,3,4,5,3,4,3,5,5,5,5,7,6,5,6,6,4,7,4,2,2,3,6,7,2,8,2,4,2,1,5,8,4,5,3,9,5,4,2,3,4,6,5,5,8,4,2,3,2,3,5,4,7,5,4,6,2,2,1,3,11,2,0
917526:0,0,3,7,10,6,12,7,12,15,11,13,9,11,5,16,6,11,13,11,17,12,13,13,13,9,11,16,14,17,10,11,15,13,9,8,8,15,9,13,17,8,11,10,9,9,14,9,11,14,11,11,12,9,9,11,15,14,14,14,10,11,7,9,4,6,7,10,9,6,12,8,7,3,1,9,8,10,9,9,6,8,4,7,5,7,9,7,6,10,7,4,8,4,7,10,9,7,9,8,9,9,7,5,7,8,9,9,8,9,8,6,5,6,6,9,7,9,10,7,10,6,6,8,7,11,11,9,9,13,9,5,6,5,10,9,5,11,10,4,7,6,9,10,9,9,8,10,6,8,5,3,9,9,10,8,10,8,7,4,2,3,6,8,7,6,9,6,7,4,2,9,6,4,11,5,11,9,8,4,6,5,6,7,9,3,8,7,6,2,8,7,8,7,3,4,10,9,2,6,7,9,6,8,6,5,7,6,2,8,2,4,0
917527:0,0,3,4,4,3,8,5,8,7,3,6,5,7,3,9,7,6,8,10,11,9,7,8,7,3,11,6,11,10,5,6,9,11,3,7,5,8,5,6,10,8,8,4,7,10,8,4,6,9,7,11,5,5,4,7,8,8,11,14,6,11,7,2,2,5,4,8,4,4,8,5,2,1,3,6,3,3,2,7,4,5,6,4,2,5,6,4,3,6,4,1,3,3,3,2,3,3,6,3,3,3,5,4,4,7,6,5,6,1,3,3,5,2,3,4,3,6,5,3,5,4,5,3,4,3,7,6,6,7,6,3,4,4,4,2,5,5,6,3,3,6,4,6,2,6,4,7,1,5,6,3,10,8,7,6,8,6,5,1,2,3,3,5,7,4,7,4,2,5,1,3,7,3,4,2,10,5,6,3,4,3,2,5,5,3,5,4,3,6,2,4,7,4,4,3,5,4,3,3,4,5,2,5,5,6,3,4,4,8,1,1,0
917016:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917529:0,1,8,8,7,12,10,14,5,5,10,16,17,6,17,11,10,11,8,7,7,18,4,10,15,9,9,13,15,9,16,9,7,14,12,6,9,8,10,11,14,13,6,7,5,16,17,13,12,12,13,12,11,13,6,12,7,10,14,16,13,9,4,5,1,3,0,2,2,0,0,4,2,0,0,0,1,1,0,0,0,0,4,0,0,1,0,0,1,3,1,0,2,1,1,1,1,1,0,1,1,1,2,2,0,2,1,0,0,3,1,0,0,1,2,2,1,1,1,1,0,2,3,0,2,1,3,1,2,1,3,0,2,1,1,1,4,1,2,1,1,2,1,1,0,4,2,2,2,0,0,2,4,2,0,2,3,1,0,1,0,1,1,2,2,0,0,0,1,1,1,0,2,1,0,1,2,3,0,2,1,0,0,2,3,1,1,3,1,2,1,1,0,0,0,1,0,2,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0
917530:0,0,0,5,3,5,3,7,6,7,2,1,5,2,1,4,4,4,4,5,12,7,5,6,1,4,8,3,6,5,3,7,6,4,6,3,5,5,2,2,4,5,6,5,2,5,7,2,3,5,6,3,2,4,3,4,4,3,8,8,7,8,2,2,2,3,4,6,2,3,3,5,2,1,3,6,2,2,2,7,4,0,5,5,3,4,5,5,2,3,3,1,1,2,2,1,2,2,5,1,2,1,4,2,3,4,5,2,5,2,1,3,5,1,1,2,2,4,5,2,2,4,3,3,2,2,4,5,3,3,4,4,2,3,3,0,2,3,4,3,2,4,2,6,2,1,0,3,2,1,6,3,6,6,5,6,5,5,3,1,1,4,1,3,4,4,7,4,1,3,0,3,2,3,3,0,4,4,4,2,2,2,3,3,1,1,1,2,4,5,1,3,7,2,6,2,3,1,2,3,4,3,1,5,5,6,3,2,6,6,1,1,0
917531:0,0,0,3,3,6,3,6,6,7,3,1,5,4,1,4,6,5,4,4,8,7,6,6,2,4,8,3,8,5,1,7,7,4,6,3,3,3,3,1,5,6,7,5,3,6,5,3,4,5,4,4,2,4,3,6,4,3,7,8,8,5,3,2,3,2,4,4,2,3,1,4,2,1,2,4,3,3,1,4,5,1,5,4,3,4,2,4,2,3,3,1,1,1,1,1,2,2,5,1,2,1,4,2,2,2,3,4,3,2,1,3,6,0,1,2,2,3,4,3,2,3,2,3,0,2,4,5,1,2,4,4,1,3,3,0,1,3,4,3,1,5,1,4,3,1,0,3,2,1,5,2,3,6,4,4,4,2,4,2,1,3,2,3,4,3,5,4,1,3,0,3,1,3,2,0,3,3,3,2,0,3,3,3,1,1,1,1,3,5,1,1,7,2,5,2,2,2,2,3,4,1,0,5,5,5,3,1,7,6,1,1,0
917020:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917021:0,0,3,2,1,2,3,6,5,4,4,5,2,1,6,3,1,8,3,5,3,3,2,1,2,3,6,5,2,1,4,1,4,7,5,4,2,7,4,4,4,5,2,1,2,4,5,2,6,2,2,2,2,0,3,4,2,2,0,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917022:0,0,5,3,1,3,0,9,8,8,7,7,5,4,7,12,7,10,9,8,9,6,5,3,6,6,8,6,5,2,6,5,6,6,10,6,6,11,6,5,6,9,3,5,1,5,10,3,7,5,6,4,9,7,4,4,6,5,6,4,5,9,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17439:0,0,1,6,6,10,6,5,5,7,2,13,5,4,10,5,12,11,5,12,6,9,6,4,8,2,10,6,4,8,10,5,8,6,6,11,5,5,4,9,6,6,3,4,11,8,5,8,11,10,7,4,4,12,6,3,4,2,1,5,5,8,4,3,0,0,1,1,1,2,2,0,0,3,2,0,2,1,0,1,1,0,0,2,2,2,1,0,3,2,0,1,1,0,0,0,0,2,0,2,0,2,0,2,1,0,0,1,3,1,2,1,0,3,1,1,2,1,2,1,2,0,0,0,0,1,2,2,1,0,1,1,0,3,0,1,2,0,1,0,1,0,1,0,0,0,1,0,0,0,2,2,0,1,3,1,1,0,1,1,3,1,0,1,0,2,1,0,2,1,0,0,2,2,0,0,2,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,4,1,0,0,1,1,0,0,0,1,2,4,1,0,0,0,0,1,0,0
917024:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917025:0,0,1,0,0,1,1,3,2,2,1,1,0,3,3,1,0,0,3,1,2,1,1,1,3,1,3,1,0,0,1,1,2,1,3,1,1,1,1,2,0,0,0,0,0,2,2,2,3,0,2,1,0,0,0,0,3,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17443:0,0,3,1,3,7,3,3,6,6,11,2,3,3,2,8,7,4,4,5,5,8,5,5,3,5,4,6,6,2,4,3,1,3,5,4,3,2,1,4,4,5,4,2,5,8,4,7,8,11,5,3,7,3,6,2,7,3,5,7,2,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
917541:0,0,3,4,5,8,5,6,9,2,3,7,2,0,7,4,7,11,3,6,3,4,3,3,2,7,3,7,4,5,2,5,3,6,8,4,0,4,8,3,6,10,5,6,3,8,5,4,10,7,4,7,2,5,4,10,6,8,4,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
